Transaction ID,Order ID,Product ID,Customer ID,Postal Code,Sales,Quantity,Profit,Discount
1,CA-2016-152156,FUR-BO-10001798,CG-12520,42420,261.96,2,41.9136,0
2,CA-2016-152156,FUR-CH-10000454,CG-12520,42420,731.9399999999999,3,219.58199999999997,0
3,CA-2016-138688,OFF-LA-10000240,DV-13045,90036,14.62,2,6.8713999999999995,0
4,US-2015-108966,FUR-TA-10000577,SO-20335,33311,957.5775,5,-383.03100000000006,0.45
5,US-2015-108966,OFF-ST-10000760,SO-20335,33311,22.368000000000002,2,2.516399999999999,0.2
6,CA-2014-115812,FUR-FU-10001487,BH-11710,90032,48.86,7,14.169399999999996,0
7,CA-2014-115812,OFF-AR-10002833,BH-11710,90032,7.28,4,1.9656000000000002,0
8,CA-2014-115812,TEC-PH-10002275,BH-11710,90032,907.152,6,90.71520000000004,0.2
9,CA-2014-115812,OFF-BI-10003910,BH-11710,90032,18.504,3,5.7825,0.2
10,CA-2014-115812,OFF-AP-10002892,BH-11710,90032,114.9,5,34.46999999999999,0
11,CA-2014-115812,FUR-TA-10001539,BH-11710,90032,1706.1840000000002,9,85.3091999999998,0.2
12,CA-2014-115812,TEC-PH-10002033,BH-11710,90032,911.424,4,68.35680000000002,0.2
13,CA-2017-114412,OFF-PA-10002365,AA-10480,28027,15.552000000000003,3,5.4432,0.2
14,CA-2016-161389,OFF-BI-10003656,IM-15070,98103,407.97600000000006,3,132.59219999999993,0.2
15,US-2015-118983,OFF-AP-10002311,HP-14815,76106,68.80999999999999,5,-123.858,0.8
16,US-2015-118983,OFF-BI-10000756,HP-14815,76106,2.5439999999999996,3,-3.8160000000000016,0.8
17,CA-2014-105893,OFF-ST-10004186,PK-19075,53711,665.88,6,13.317599999999999,0
18,CA-2014-167164,OFF-ST-10000107,AG-10270,84084,55.5,2,9.989999999999995,0
19,CA-2014-143336,OFF-AR-10003056,ZD-21925,94109,8.56,2,2.4823999999999993,0
20,CA-2014-143336,TEC-PH-10001949,ZD-21925,94109,213.48000000000002,3,16.01099999999998,0.2
21,CA-2014-143336,OFF-BI-10002215,ZD-21925,94109,22.72,4,7.383999999999999,0.2
22,CA-2016-137330,OFF-AR-10000246,KB-16585,68025,19.459999999999997,7,5.0596,0
23,CA-2016-137330,OFF-AP-10001492,KB-16585,68025,60.339999999999996,7,15.688400000000001,0
24,US-2017-156909,FUR-CH-10002774,SF-20065,19140,71.37199999999999,2,-1.0196000000000005,0.3
25,CA-2015-106320,FUR-TA-10000577,EB-13870,84057,1044.6299999999999,3,240.2649,0
26,CA-2016-121755,OFF-BI-10001634,EH-13945,90049,11.648000000000001,2,4.2224,0.2
27,CA-2016-121755,TEC-AC-10003027,EH-13945,90049,90.57000000000001,3,11.774100000000004,0
28,US-2015-150630,FUR-BO-10004834,TB-21520,19140,3083.4300000000003,7,-1665.0522,0.5
29,US-2015-150630,OFF-BI-10000474,TB-21520,19140,9.618000000000002,2,-7.0532,0.7
30,US-2015-150630,FUR-FU-10004848,TB-21520,19140,124.20000000000002,3,15.524999999999991,0.2
31,US-2015-150630,OFF-EN-10001509,TB-21520,19140,3.2640000000000002,2,1.1015999999999997,0.2
32,US-2015-150630,OFF-AR-10004042,TB-21520,19140,86.304,6,9.709199999999989,0.2
33,US-2015-150630,OFF-BI-10001525,TB-21520,19140,6.858000000000001,6,-5.715,0.7
34,US-2015-150630,OFF-AR-10001683,TB-21520,19140,15.76,2,3.5460000000000007,0.2
35,CA-2017-107727,OFF-PA-10000249,MA-17560,77095,29.472,3,9.946799999999998,0.2
36,CA-2016-117590,TEC-PH-10004977,GH-14485,75080,1097.5440000000003,7,123.4736999999999,0.2
37,CA-2016-117590,FUR-FU-10003664,GH-14485,75080,190.92,5,-147.96300000000002,0.6
38,CA-2015-117415,OFF-EN-10002986,SN-20710,77041,113.328,9,35.415,0.2
39,CA-2015-117415,FUR-BO-10002545,SN-20710,77041,532.3992,3,-46.97640000000001,0.32
40,CA-2015-117415,FUR-CH-10004218,SN-20710,77041,212.058,3,-15.146999999999991,0.3
41,CA-2015-117415,TEC-PH-10000486,SN-20710,77041,371.168,4,41.75639999999996,0.2
42,CA-2017-120999,TEC-PH-10004093,LC-16930,60540,147.168,4,16.556399999999996,0.2
43,CA-2016-101343,OFF-ST-10003479,RA-19885,90049,77.88,2,3.8939999999999912,0
44,CA-2017-139619,OFF-ST-10003282,ES-14080,32935,95.616,2,9.56160000000001,0.2
45,CA-2016-118255,TEC-AC-10000171,ON-18715,55122,45.98,2,19.7714,0
46,CA-2016-118255,OFF-BI-10003291,ON-18715,55122,17.46,2,8.206199999999999,0
47,CA-2014-146703,OFF-ST-10001713,PO-18865,48185,211.96,4,8.478399999999993,0
48,CA-2016-169194,TEC-AC-10002167,LH-16900,19901,45,3,4.950000000000001,0
49,CA-2016-169194,TEC-PH-10003988,LH-16900,19901,21.8,2,6.104000000000001,0
50,CA-2015-115742,OFF-BI-10004410,DP-13000,47150,38.22,6,17.9634,0
51,CA-2015-115742,OFF-LA-10002762,DP-13000,47150,75.17999999999999,6,35.334599999999995,0
52,CA-2015-115742,FUR-FU-10001706,DP-13000,47150,6.16,2,2.9568,0
53,CA-2015-115742,FUR-CH-10003061,DP-13000,47150,89.99,1,17.098099999999988,0
54,CA-2016-105816,OFF-FA-10000304,JM-15265,10024,15.260000000000002,7,6.256600000000001,0
55,CA-2016-105816,TEC-PH-10002447,JM-15265,10024,1029.95,5,298.6855,0
56,CA-2016-111682,OFF-ST-10000604,TB-21055,12180,208.56,6,52.139999999999986,0
57,CA-2016-111682,OFF-PA-10001569,TB-21055,12180,32.400000000000006,5,15.552000000000001,0
58,CA-2016-111682,FUR-CH-10003968,TB-21055,12180,319.41,5,7.098000000000006,0.1
59,CA-2016-111682,OFF-PA-10000587,TB-21055,12180,14.56,2,6.9888,0
60,CA-2016-111682,TEC-AC-10002167,TB-21055,12180,30,2,3.3000000000000007,0
61,CA-2016-111682,OFF-BI-10001460,TB-21055,12180,48.480000000000004,4,16.362,0.2
62,CA-2016-111682,OFF-AR-10001868,TB-21055,12180,1.68,1,0.84,0
63,CA-2015-135545,TEC-AC-10004633,KM-16720,90004,13.98,2,6.151200000000001,0
64,CA-2015-135545,OFF-BI-10001078,KM-16720,90004,25.824,6,9.3612,0.2
65,CA-2015-135545,OFF-PA-10003892,KM-16720,90004,146.73,3,68.9631,0
