Index,Date,North,South,East,West
1,2022-01-01,113.5453846,122.1628957,94.28022243,101.0146977
2,2022-01-02,98.83052385,106.5416057,109.9159008,105.69096
3,2022-01-03,105.2906668,86.12589047,102.5486653,93.4502824
4,2022-01-04,96.30411611,105.8181917,92.10503706,110.448941
5,2022-01-05,86.7092516,119.2856614,98.11128438,94.98926973
6,2022-01-06,105.9643682,82.03893576,107.6063189,101.4709746
7,2022-01-07,97.02434137,105.9385539,102.3382555,77.6598264
8,2022-01-08,91.20579715,123.5424547,102.650566,99.48788886
9,2022-01-09,88.61572877,107.4600134,99.48309207,104.8810596
10,2022-01-10,111.4752459,113.3935703,94.77926949,116.8624972
11,2022-01-11,112.1210776,130.6539296,110.5509685,104.9043973
12,2022-01-12,99.1865203,100.2914156,110.1777804,90.11504689
13,2022-01-13,109.1112065,78.77909608,116.8133479,99.51207444
14,2022-01-14,86.16767541,124.2073154,118.4471024,109.2340261
15,2022-01-15,97.39292373,108.7001361,77.17630384,91.22577255
16,2022-01-16,114.0771966,137.4548829,91.01110116,100.3491521
17,2022-01-17,92.62966713,83.99599094,110.2981099,106.0573381
18,2022-01-18,97.0061444,136.8422822,93.43888311,95.36527802
19,2022-01-19,106.438768,105.9428983,114.7269797,87.91361447
20,2022-01-20,95.64641751,115.8946316,94.33924665,117.2444548
21,2022-01-21,112.0693299,97.1493885,95.42062446,102.8003764
22,2022-01-22,89.32619052,90.19910116,106.8015836,97.19277447
23,2022-01-23,85.99860526,110.9295764,89.71179987,101.5474118
24,2022-01-24,79.53631174,124.0672554,87.50851677,118.9036123
25,2022-01-25,108.2478424,84.17507134,107.4027408,92.32368076
26,2022-01-26,84.17348123,115.5966188,111.7877008,97.23114754
27,2022-01-27,98.60144193,109.6067421,112.5815643,105.4603287
28,2022-01-28,101.5545749,116.6730778,108.0054827,86.73527445
29,2022-01-29,85.88699409,111.3382591,121.3585948,98.34216543
30,2022-01-30,87.75719586,153.6774343,95.59382786,83.41835706
31,2022-01-31,97.23913457,111.6962093,105.9070765,114.997052
32,2022-02-01,94.75244082,83.47513355,107.767576,112.0659816
33,2022-02-02,82.97635992,113.3050314,92.57542193,112.4078931
